fight_id,date,division,target,height_diff,reach_diff,date_diff,body_acc_diff,clinch_acc_diff,dist_acc_diff,ground_acc_diff,head_acc_diff,leg_acc_diff,sig_str_acc_diff,td_acc_diff,total_str_acc_diff,landed_body_per_diff,landed_clinch_per_diff,landed_dist_per_diff,landed_ground_per_diff,landed_head_per_diff,landed_leg_per_diff,losses_diff,wins_diff,outcome_diff,sub_avg_diff,td_avg_diff,splm_diff,sapm_diff,str_def_diff,td_def_diff,elo_diff,glicko_diff,glicko_rd_diff,recent_win_rate_diff,recent_finish_rate_diff,ko_rate_diff,sub_rate_diff,dec_rate_diff,days_since_last_diff,ko_vuln_diff,ewma_str_acc_diff,ewma_td_acc_diff,str_acc_var_diff,win_streak_diff,loss_streak_diff,str_acc_slope_diff,td_acc_slope_diff,splm_slope_diff,sos_diff,age_diff,grapple_ratio_diff,striker_vs_wrestler,wrestler_vs_striker,div_womens_strawweight,div_womens_flyweight,div_womens_bantamweight,div_womens_featherweight,div_flyweight,div_bantamweight,div_featherweight,div_lightweight,div_welterweight,div_middleweight,div_light_heavyweight,div_heavyweight,title_fight,southpaw_adv_diff,both_southpaw
423f32dd018ac218,2026-05-30,bantamweight,1,7.599999999999994,-2.5,0.0,-4.6876618125715055,3.6661758464931893,-6.4930884582524016,-0.789679040555157,-7.543090962341786,1.0838080979043951,-7.525715008674105,4.14956709801568,-5.551275627036247,-0.0974735029481015,-0.041528049334101126,0.13274563698435637,-0.07263329358996268,0.0490000503547523,0.0670577466536418,-2.0,-3.0,0.0,-0.829514314414983,-0.6137443768883853,1.4908450242052398,0.41941886507471215,6.037347780323266,13.550884194161164,-2.0371604941892656,0.0,0.0,0.0,-0.3333333333333333,0.16883116883116883,-0.1948051948051948,0.025974025974025983,0.0,-1.0,-0.1166835096472082,0.09431166559072185,0.0010921401259090203,0,0,0.008970229554478076,-0.03633532089135276,5.899611051633579,-12.075098296006217,,-0.18182774396553733,0.2984720911403204,0.11664437518959923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
a23d84f15207e459,2026-05-30,light heavyweight,0,5.099999999999994,-2.5,0.0,-9.59466983335821,0.49348793157059845,1.0924993288368583,-13.58797313470248,-0.8881370026757196,-5.984898677980468,1.8924878791137232,-14.044878660170784,-0.05527376279017915,0.027650709241368476,0.0033680970646664254,-0.06819586748573869,0.04807923998238581,-0.15609200624493735,0.1116927665648825,-6.0,-7.0,0.0,0.0715356509915655,0.20103880211840186,1.6450329805893928,0.25293885684770423,-5.454836369727566,2.920334516333085,34.854229158027465,48.62275181215773,-254.49927736136507,0.0,0.6666666666666667,0.6,-0.2,-0.4,91.0,0.0,-0.008525988395181483,-0.36236420339211706,0.28810386735242327,0,0,0.012796958961998856,0.008241757019080026,337.63863332430554,-33.51031257577097,,-0.017110130202458496,0.14103695425348536,0.12392681637020374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
f74e4afdf6ae29d1,2026-05-30,heavyweight,1,-10.199999999999989,2.5999999999999943,0.0,-5.420753553888275,-14.149165993768804,-0.5007500455548524,1.7848837404392128,-4.9968920012904405,24.766862964292088,-6.094653295342702,-0.38350693298534466,-6.37093796296287,-0.05717394613156557,-0.026365514494693487,0.207214017827485,-0.06783925709885089,0.18476375628809016,-0.014580563922583778,2.0,6.0,0.0,-0.16008919808109515,-0.9983502692390749,0.7791226609988198,0.5688646017547714,15.32269069792261,40.6099677747212,76.63391358980266,0.0,0.0,0.0,-0.6666666666666666,0.25,0.0,-0.25,161.0,-1.0,-0.19162296292102526,0.13489280507644785,-0.45120269592906287,1,0,-0.02142536855116184,0.07999998400000322,-15.39279622103875,86.26702460277966,,-0.19143226815891437,0.2932898683838431,0.1018576413753378,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
00959e29e4a10e26,2026-05-30,bantamweight,1,-2.6000000000000227,0.0,0.0,3.0613069593080198,-12.18052076745824,1.842620543479633,11.515581214291426,2.7554008535631205,1.5571312947784435,2.1202614962438204,6.997348727482766,6.549276246654294,-0.021258623906401652,-0.01822315641662775,0.05751294885034963,0.02675915996610105,0.05341281514559326,0.033894761160631365,0.0,-1.0,0.0,0.12138422047454311,0.21089677022281994,-0.2984207578316811,0.2828926107300074,2.3607543751276907,1.1194623394374545,19.903574933391383,-48.05955043042877,-116.57368674771524,-0.3333333333333333,1.0,0.0,0.0,-1.0,-63.0,0.0,0.0490580329800025,0.0,0.19413695670907008,0,0,0.0,0.0,0.0,36.12305550617771,,0.05468250729251936,0.14736585824568701,0.20204835367006876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c1c9dfd0c0952f18,2026-05-30,welterweight,1,-2.5999999999999943,-7.599999999999994,0.0,7.138802360315083,0.1468088621644199,1.8696353037940838,-0.06034125892823283,3.4443780824583854,4.147691551104373,2.673802633916523,14.278973341133788,3.232479843789662,-0.08027132997463116,0.02306158928372168,0.0037290322849480306,0.04274392140676188,0.1789550232114009,-0.029149150261338047,5.0,11.0,0.0,0.09885908003381294,0.03664264711531695,-0.06580063009616222,-0.4313030173949097,8.373511916502935,10.879911112440809,68.45712237198609,0.0,0.0,0.3333333333333333,-0.33333333333333337,-0.11666666666666667,-0.09999999999999998,0.21666666666666667,-259.0,-2.0,-0.02906817817350177,0.1930442410764984,-0.01593223209734214,0,-1,-0.009910787530945781,-0.08460395018154199,65.94829173583763,14.729146290440667,,0.009486329164876739,0.20810813968660463,0.21759446726565035,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3bc0190fb17ba42f,2026-05-30,bantamweight,0,0.0,0.0,0.0,18.34873001931316,5.762566631247282,9.587406062443257,22.347396499398087,6.962775292689887,13.639408163921402,8.767204559850427,10.544478668968221,10.943010994961632,0.025966572370268698,-0.035387670545456815,0.11065117379346034,0.06930173365715092,0.07123413704646842,0.047364527488417296,5.0,3.0,0.0,-0.22065983784566529,-0.156987971870312,0.16681808578372337,1.7596376532833626,2.4820413320141057,4.573614579949137,-15.67465967837461,270.48292660933816,-76.42367614907505,-0.6666666666666667,0.3333333333333333,0.5,0.0,-0.5,-371.0,0.0,0.4890052907174458,0.4743450721686662,0.00895037981413828,0,0,0.00350320995517903,0.003636366699723965,178.2177214150435,26.382131427337526,,-0.0287784722094771,0.2010312304387976,0.17225276334485765,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
224dce2c0b03e7eb,2026-05-30,bantamweight,1,2.5,10.099999999999994,0.0,10.329101519113955,0.06709218535183936,0.7745149273210856,11.308867780481144,2.6871683805820865,8.636003086224932,2.8844626552687203,8.00021151157738,7.230819882546072,0.02535653917814515,-0.0020226602024108475,-0.08434505811167681,0.13754456928654496,0.1175292482983108,-0.0917089365039986,-2.0,0.0,0.0,0.030445661978729166,0.9187294685761227,-1.1084698970256137,-1.10569967975121,-0.6563344201919676,-5.553288252826071,0.0,32.65809345089974,84.26365620401407,0.16666666666666669,0.0,0.0,0.0,0.0,434.0,0.0,0.014090582239627336,0.0788461464476494,0.2012391361103032,-1,1,0.0,0.0,0.0,45.13764855330737,,0.19242596337075976,0.12865192728999209,0.3210778551121515,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
370ff29489150560,2026-05-30,women's strawweight,0,-5.099999999999994,-17.799999999999983,0.0,20.115985786287162,-7.2936108018485015,9.995351767190762,5.94840159338829,-5.54369467156004,18.744520149518905,5.472189081982734,10.540378284707685,3.572089683657623,0.12931767658945456,0.16347879769204743,0.09100314800831766,-0.21172857204284123,-0.1729674913330853,0.08640318840115459,1.0,3.0,0.0,-2.002805724069377,0.019043636580812207,0.8043398612783768,0.12068723348674393,1.2998293932896203,40.89282893219236,-16.62292756075567,-91.15910320894568,-19.035666868145853,0.0,-0.6666666666666666,-0.25,-0.6071428571428572,0.8571428571428571,28.0,0.0,0.08753214218804206,0.1858700341764527,-0.1222003042361952,0,0,-0.06324361479920086,-0.013068064752795532,1.6939257431408632,-32.014471514859906,,-0.053830395421002986,0.25461697233966035,0.2007865761433972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e4aa608124896794,2026-05-16,featherweight,1,-5.100000000000023,-2.5,0.0,1.2445411965306192,-6.698730801476586,-1.8027391307759189,0.33328463758471116,1.8654047739969073,-6.065165527736411,-3.3338152341109506,7.5413336121291366,-7.9935699484774645,-0.0858029831731982,-0.08725903563629447,0.13469755823451535,-0.0015553122661934315,0.28614290326425273,-0.15445670975902698,1.0,4.0,0.0,-0.5557676909021607,-0.7454438899819649,-0.4001366605125152,0.12178684859185296,6.99269933850735,12.980163266688074,-13.726479385587709,-18.226856948555906,-149.30898532171867,-0.6666666666666667,-0.6666666666666666,-0.10389610389610388,-0.10389610389610388,0.2077922077922078,28.0,0.0,-0.07274495924772734,0.1422278796193639,-0.012298892843748126,-6,1,-0.013729635979564673,-0.016399108401005974,-38.72534371282594,102.54425503304446,,-0.08563175280061092,0.24237254332367628,0.15674081983966745,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
fc1266e2892ed111,2026-05-16,featherweight,1,7.600000000000023,7.600000000000023,0.0,18.641583741126972,5.3845669789608905,12.210545530596427,12.720647514204288,11.360012555074402,14.559827074765892,12.111855082840982,12.108309742220698,10.572717180658323,-0.03694713437271513,-0.006011542129294917,0.059032609077903975,0.01246686545250078,0.12145126043360766,-0.01901619365978277,3.0,1.0,0.0,0.26510068755888777,-0.7373574270639596,0.38187144305862386,-0.2639863716655393,6.788675108974665,-9.547574141405889,30.536079206120576,282.2575349516969,-18.749503058336245,-0.33333333333333337,0.3333333333333333,0.5,0.0,-0.5,301.0,0.0,0.20757202323714985,-0.09745479114442548,-0.1528955802897337,-2,0,-0.09353335067712773,-0.09357142214030717,-7.897712031052071,31.206571275351507,,-0.10685437338426595,0.26965210476865986,0.1627977527750959,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
