fight_id,date,division,target,body_acc_diff,body_atmpted_diff,body_landed_diff,clinch_acc_diff,clinch_atmpted_diff,clinch_landed_diff,ctrl_diff,dist_acc_diff,dist_atmpted_diff,dist_landed_diff,draws_diff,ground_acc_diff,ground_atmpted_diff,ground_landed_diff,head_acc_diff,head_atmpted_diff,head_landed_diff,height_diff,kd_diff,landed_body_per_diff,landed_clinch_per_diff,landed_dist_per_diff,landed_ground_per_diff,landed_head_per_diff,landed_leg_per_diff,leg_acc_diff,leg_atmpted_diff,leg_landed_diff,losses_diff,reach_diff,sapm_diff,sig_str_acc_diff,sig_str_atmpted_diff,sig_str_landed_diff,splm_diff,str_acc_diff,str_def_diff,sub_att_diff,sub_avg_diff,td_acc_diff,td_atmpted_diff,td_avg_diff,td_avg_acc_diff,td_def_diff,td_landed_diff,total_str_acc_diff,total_str_atmpted_diff,total_str_landed_diff,wins_diff,total_fight_time_diff,elo_diff,recent_win_rate_diff,recent_finish_rate_diff,win_streak_diff,is_debutant_diff,age_diff,grapple_ratio_diff,strike_ratio_diff,striker_vs_wrestler,wrestler_vs_striker,div_womens_strawweight,div_womens_flyweight,div_womens_bantamweight,div_womens_featherweight,div_flyweight,div_bantamweight,div_featherweight,div_lightweight,div_welterweight,div_middleweight,div_light_heavyweight,div_heavyweight,title_fight
d14fea43712707f0,2025-09-06 00:00:00,lightweight,1,12.437810945273597,125.0,100.0,-18.1818181818182,84.0,68.0,1779.0,-6.228940174200503,281.0,132.0,0,-24.983649444081102,128.0,70.0,-11.575493352641303,328.0,130.0,0.0,1.0,29.77777777777773,15.00000000000003,-27.5555555555556,12.0,-34.2222222222223,3.8888888888889,10.58201058201061,40.0,40.0,2,-5.0800000000000125,-0.3451451470953595,-3.381396663839503,493.0,270.0,0.9846870666765106,-2,-20.808196447177096,7.0,1.54487493869544,39.5833333333333,47.0,4.19323197645905,37,-29.411764705882305,19.0,2.16894745047,704.0,448.0,2,2769.0,7.809197714231459,-0.6666666666666667,0.33333333333333337,-2,0,0.4982888432580417,0.4377879727265913,-0.4377878498731693,0.0,0.4377878732362569,0,0,0,0,0,0,0,1,0,0,0,0,0
5bcd8abf6da01dae,2025-09-06 00:00:00,middleweight,1,10.326086956521706,92.0,80.0,15.884861407249502,120.0,107.0,-298.0,-4.797216881809,509.0,230.0,0,-20.170658990438994,66.0,30.0,-5.185703937409606,566.0,254.0,5.0800000000000125,-1.0,-3.6883116883116003,11.2727272727273,-4.8051948051947875,-6.779220779220699,6.5324675324675,-2.4545454545454994,1.3824884792627046,37.0,33.0,3,0.0,0.9312125963615197,-3.4338780004895,695.0,367.0,1.04834836026604,-2,-3.6364310534791997,8.0,0.5315887868389839,-24.107142857142897,12.0,-0.5111651916736331,-16,6.220095693779896,0.0,-4.855628558913693,739.0,403.0,-1,3554.0,-2.1214120525892213,0.0,0.3333333333333333,-3,0,-3.1211498973305964,-0.12552632200077818,0.1255263432917737,0.24044956437034784,0.11492326262935515,0,0,0,0,0,0,0,0,0,1,0,0,0
0149e875b31e57f8,2025-09-06 00:00:00,light heavyweight,1,13.622909065877309,-126.0,-73.0,-6.302742616033797,-31.0,-25.0,-764.0,1.9200680625013007,-41.0,-3.0,-1,10.2777777777778,-111.0,-74.0,2.2451159951160022,-6.0,12.0,0.0,0.0,-13.55,-5.199999999999999,22.900000000000006,-17.95,15.849999999999994,-2.6499999999999986,8.235294117646987,-51.0,-41.0,-3,0.0,1.0786197048571897,-2.586756548836,-183.0,-102.0,0.7191762676541402,-2,7.465213870279001,-14.0,-1.222090663358123,47.389558232931805,-80.0,-1.157679386753007,48,42.483660130719,-14.0,-10.850772231300397,-451.0,-342.0,1,-4036.0,-10.424284809532537,1.0,0.0,2,0,-6.206707734428477,-0.27894859004623196,0.27894855947124386,0.33436432137507544,0.05541581204898421,0,0,0,0,0,0,0,0,0,0,1,0,0
69b31593175f77ec,2025-09-06 00:00:00,lightweight,0,2.4832479306268027,-70.0,-49.0,-11.782945736434101,-71.0,-48.0,-1133.0,6.865478442696499,-263.0,-65.0,0,-33.9080459770115,-52.0,-37.0,5.135942895279001,-294.0,-78.0,0.0,0.0,-13.5333333333333,-11.266666666666671,24.200000000000003,-12.66666666666667,18.133333333333297,-4.33333333333333,-19.1553544494721,-22.0,-23.0,0,-2.5400000000000205,0.3343526400964203,2.3811270015890997,-386.0,-150.0,1.1105700847660804,3,13.490502953398398,0.0,0.0,22.2222222222222,-32.0,-2.8983530753244904,5,5.714285714285694,-16.0,-3.424657534246599,-511.0,-261.0,-6,-2020.0,14.52237960246589,0.0,0.3333333333333333,0,0,-0.5557837097878178,-0.26518717601204234,0.2651871532521677,0.3601265041697793,0.09493936505603681,0,0,0,0,0,0,0,1,0,0,0,0,0
a47123ae6e048f11,2025-09-06 00:00:00,welterweight,1,-79.5180722891566,-83.0,-66.0,-57.1428571428571,-28.0,-16.0,-488.0,-43.3962264150943,-583.0,-253.0,0,-83.3333333333333,-6.0,-5.0,-36.3817097415507,-503.0,-183.0,0.0,-3.0,-16.4,-4.4,-73.0,-1.2,-54.6,-7.8,-80.6451612903226,-31.0,-25.0,-6,-10.159999999999997,-7.92097836312324,-44.4084278768233,-617.0,-274.0,-5.1552210724365,2,-46.025641025641,0.0,0.0,0.0,-10.0,0.0,25,-41.1764705882353,0.0,-47.4926253687316,-678.0,-322.0,-4,-3189.0,75.89406593365266,-0.3333333333333333,-0.3333333333333333,0,1,-2.0205338809034927,0.0,-0.9999998060219354,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0
4080b4310d82b42d,2025-09-06 00:00:00,light heavyweight,1,7.830551989730395,-3.0,1.0,35.714285714285694,8.0,9.0,515.0,6.381766381766397,-36.0,0.0,0,-100.0,-1.0,-1.0,4.059659610809501,-25.0,-1.0,2.539999999999992,-1.0,7.600000000000001,12.2666666666667,-22.200000000000003,10.0,-11.133333333333297,3.866666666666699,21.138211382113795,-1.0,8.0,-7,5.079999999999984,-2.1122171213879204,8.1227436823105,-29.0,8.0,0.8870087022497102,6,20.531400966183597,-1.0,-0.27684832128992903,-9.523809523809597,8.0,1.1418209436706401,-6,100.0,2.0,6.832984193487,-28.0,6.0,-6,-471.0,41.49133535448459,0.0,-0.3333333333333333,0,0,0.7994524298425745,0.09738132482633943,-0.09738123607880944,0.1741626646881968,0.27154393956761796,0,0,0,0,0,0,0,0,0,0,1,0,0
b53031bf4bd0a330,2025-09-06 00:00:00,featherweight,1,59.4827586206897,116.0,69.0,73.8095238095238,42.0,31.0,870.0,49.3303571428571,448.0,221.0,0,60.0,5.0,3.0,36.6782006920415,289.0,106.0,10.159999999999997,0.0,27.6,11.0,86.4,1.8,36.0,35.0,88.8888888888889,90.0,80.0,2,2.539999999999992,2.86175115207373,51.5151515151515,495.0,255.0,3.52534562211982,14,60.7210626185958,2.0,0.414746543778802,27.2727272727273,11.0,0.622119815668203,5,73.9130434782609,3.0,56.5573770491803,610.0,345.0,3,4340.0,107.49838457697751,0.6666666666666666,0.3333333333333333,4,-1,0.9199178644763855,0.14999996383334194,0.849999795055605,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
23dbe713c4294c66,2025-09-06 00:00:00,heavyweight,0,70.0757575757576,264.0,185.0,64.7540983606557,122.0,79.0,4411.0,42.2437673130194,1444.0,610.0,0,75.092936802974,269.0,202.0,40.9185803757829,1437.0,588.0,0.0,1.0,23.5,8.95454545454546,66.3181818181818,23.8181818181818,60.9545454545455,14.2727272727273,88.0597014925373,134.0,118.0,3,0.0,3.30660917604258,48.5558583106267,1835.0,891.0,3.60169776999259,2,55.4223433242507,2.0,0.121269285184936,33.8235294117647,68.0,1.39459677962676,33,75.0,23.0,60.1498394577239,2803.0,1686.0,2,14843.0,135.33630947409029,0.6666666666666666,0.6666666666666666,1,-1,4.741957563312802,0.2791261577255992,0.7208736421261129,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
5cd2dd6075fadcce,2025-09-06 00:00:00,lightweight,0,-73.1707317073171,-41.0,-30.0,-77.7777777777778,-9.0,-7.0,-199.0,-52.3364485981308,-214.0,-112.0,1,-64.5161290322581,-31.0,-20.0,-40.1197604790419,-167.0,-67.0,-2.539999999999992,-3.0,-23.3333333333333,-4.66666666666667,-82.3333333333333,-12.0,-44.0,-31.6666666666667,-91.304347826087,-46.0,-42.0,1,-5.079999999999984,-1.32374100719424,-54.7244094488189,-254.0,-139.0,-4.0,-21,-61.9834710743802,0.0,0.0,-100.0,-3.0,-1.29496402877698,-100,-76.9230769230769,-3.0,-60.1973684210526,-304.0,-183.0,3,-2085.0,-46.4043201064776,-0.6666666666666666,-0.3333333333333333,-1,1,0.46269678302532213,-0.2445651712030453,-0.7554346399382946,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
d56a59a4c79cf515,2025-09-06 00:00:00,welterweight,0,20.881812614819395,-48.0,-29.0,20.143732826041003,-26.0,-7.0,-1913.0,7.137254901960802,-460.0,-212.0,-1,22.055137844611593,-74.0,-46.0,24.483150321847802,-461.0,-189.0,2.539999999999992,-3.0,7.1666666666667,38.0,-35.3333333333333,-2.6666666666667,-0.5,-6.1666666666667,6.557377049180303,-51.0,-47.0,1,-2.5400000000000205,-0.98287596048299,23.8008720930233,-560.0,-265.0,1.7517746066593496,19,-6.522736658560099,-1.0,-0.197585071350165,22.660098522167402,-44.0,4.0482985729967105,24,-91.6666666666667,-12.0,22.338233999471797,-736.0,-395.0,-11,-3655.0,-69.46130856498917,0.33333333333333337,0.0,-1,0,0.6023271731690656,0.09797004175003782,-0.09796999605260948,0.20341230859607118,0.30138231845050556,0,0,0,0,0,0,0,0,1,0,0,0,0
