R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,R_sapm,B_sapm,R_str_def,B_str_def,R_td_def,B_td_def,grapple_ratio_diff,striker_vs_wrestler,wrestler_vs_striker,southpaw_adv_diff,both_southpaw,weightclass_rank_diff,div_womens_strawweight,div_womens_flyweight,div_womens_bantamweight,div_womens_featherweight,div_flyweight,div_bantamweight,div_featherweight,div_lightweight,div_welterweight,div_middleweight,div_light_heavyweight,div_heavyweight,R_head_acc,B_head_acc,R_body_acc,B_body_acc,R_leg_acc,B_leg_acc,R_head_def,B_head_def,R_body_def,B_body_def,R_dist_def,B_dist_def,R_ground_def,B_ground_def,R_elo,B_elo,R_glicko,B_glicko,R_glicko_rd,B_glicko_rd,R_recent_win_rate,B_recent_win_rate,R_recent_finish_rate,B_recent_finish_rate,R_sos,B_sos,R_str_acc_slope,B_str_acc_slope,R_splm_slope,B_splm_slope,R_td_acc_slope,B_td_acc_slope,R_ko_rate,B_ko_rate,R_sub_rate,B_sub_rate,R_dec_rate,B_dec_rate,R_days_since_last,B_days_since_last,R_ko_vuln,B_ko_vuln,R_kd_received,B_kd_received,R_ewma_str_acc,B_ewma_str_acc,R_ewma_td_acc,B_ewma_td_acc,R_ewma_head_acc,B_ewma_head_acc,R_ewma_body_acc,B_ewma_body_acc,R_ewma_dist_acc,B_ewma_dist_acc,R_str_acc_var,B_str_acc_var,R_opp_adj_splm,B_opp_adj_splm,R_opp_adj_td_avg,B_opp_adj_td_avg,R_opp_adj_head_acc,B_opp_adj_head_acc,R_opp_adj_body_acc,B_opp_adj_body_acc,R_opp_adj_dist_acc,B_opp_adj_dist_acc,R_ewma_splm,B_ewma_splm,R_ewma_td_avg,B_ewma_td_avg,R_ewma_sapm,B_ewma_sapm,R_ewma_clinch_per,B_ewma_clinch_per,R_ewma_sub_att,B_ewma_sub_att,R_ewma_kd_received,B_ewma_kd_received,R_ewma_reversals,B_ewma_reversals,R_career_reversals,B_career_reversals,R_ewma_ctrl_r1,B_ewma_ctrl_r1,R_ewma_splm_r1,B_ewma_splm_r1,R_ewma_reversals_r1,B_ewma_reversals_r1
Dylan Budka,Cesar Almeida,-166.0,140.0,60.24,140.0,2024-04-06,"Las Vegas, Nevada, USA",USA,Blue,0,Middleweight,MALE,3,0,1,0,4.25,0.61,0.0,0.0,0.0,1,0.0,3,0,0,0,1,0,0,0,1.0,Orthodox,185.42,187.96,185.0,0,1,0,1.04,0.6,0.7,3.38,0.38,1,0.0,3,0,0,0,1,0,0,0,1.0,Switch,182.88,190.5,185.0,24.0,36.0,0,0,0,0.0,0.0,0,0,0,0,2.54,-2.54,12.0,3.21,-0.7,-3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,2.0,2:13,433.0,165.0,275.0,450.0,2000.0,500.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7647,0.0,0.7647,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,1400.0,2114.6022,1892.7103,145.4593,173.5702,0.0,0.0,0.0,0.0,1400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melissa Mullins,Nora Cornolle,-360.0,285.0,27.78,285.0,2024-04-06,"Las Vegas, Nevada, USA",USA,Blue,0,Women's Bantamweight,FEMALE,3,0,1,0,3.29,0.59,0.0,0.0,0.0,1,0.0,3,0,0,0,1,0,0,0,1.0,Orthodox,170.18,170.18,135.0,0,1,0,2.73,0.52,0.0,0.65,0.2,1,0.0,3,0,0,0,1,0,0,0,1.0,Orthodox,170.18,172.72,135.0,32.0,34.0,0,0,0,0.0,0.0,0,0,0,0,0.0,-2.54,2.0,0.56,0.0,-0.65,,,15.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Knee,2.0,3:06,486.0,-105.0,,450.0,,330.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1923,0.0,0.1923,0,0,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.8262,1458.4338,1561.6147,1796.1442,115.9853,110.6023,1.0,1.0,0.0,0.0,1459.4521,1453.4886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,175.0,217.0,0.0,0.0,1.0,0.0,0.5474,0.5195,0.0,0.0,0.5281,0.3243,0.8333,0.7083,0.5526,0.4359,0.0,0.0,4.0619,2.3958,0.0,0.0,105.0069,31.4932,83.3333,64.0378,54.7328,37.6056,3.4667,2.6667,0.0,0.0,3.2,1.2,0.0667,1.5333,0.0,0.0,0.0667,0.0,0.0,3.0,0.0,3.0,0.2867,0.0933,4.6,3.2,0.0,0.2
Erin Blanchfield,Manon Fiorot,-218.0,180.0,45.87,180.0,2024-03-30,"Atlantic City, New Jersey, USA",USA,Blue,0,Women's Flyweight,FEMALE,5,0,6,0,6.26,0.41,0.0,1.17,0.42,6,0.0,16,0,0,0,4,2,0,0,6.0,Orthodox,170.18,165.1,125.0,0,6,0,5.47,0.45,1.0,2.05,0.33,6,0.0,14,0,0,0,3,0,3,0,6.0,Orthodox,162.56,167.64,125.0,24.0,34.0,0,0,0,0.0,0.0,2,0,2,-3,7.62,-2.54,10.0,0.79,-1.0,-0.88,,3.0,2.0,2.0,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,6.0,Red,U-DEC,,5.0,5:00,1500.0,225.0,300.0,180.0,2800.0,800.0,500.0,3.22,3.14,61.98,71.7,77.78,83.33,0.1151,0.1145,0.2297,0,0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,47.91,32.11,88.37,77.95,87.18,95.65,71.47,83.5,45.45,45.37,62.11,73.7,0.0,0.0,1563.4623,1559.4132,1500.0,1380.511,350.0,274.4791,1.0,1.0,0.6667,0.0,1482.0123,1473.9419,-0.0,-0.018,-0.0,-0.348,-0.0,-0.116,0.0,0.3333,0.5,0.0,0.5,0.6667,217.0,210.0,0.0,0.0,0.0,0.0,0.5121,0.3751,0.3549,0.3594,0.4395,0.2825,0.7119,0.7161,0.428,0.3614,0.1127,0.1362,5.4835,6.1301,2.9985,1.1822,43.3849,32.5002,80.3603,78.0031,43.2748,34.7758,5.7735,5.5971,1.8755,0.9993,4.292,3.686,0.5306,0.3865,2.1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3596,0.0246,6.1747,5.2162,0.0,0.0
Vicente Luque,Joaquin Buckley,-148.0,124.0,67.57,124.0,2024-03-30,"Atlantic City, New Jersey, USA",USA,Blue,0,Welterweight,MALE,3,0,2,0,4.25,0.36,0.0,1.69,0.44,3,4.0,26,0,0,1,1,5,0,0,7.0,Southpaw,177.8,193.04,170.0,0,1,0,5.07,0.52,0.6,1.0,0.53,6,5.0,45,0,0,1,1,8,5,0,15.0,Orthodox,180.34,190.5,170.0,32.0,29.0,0,1,-3,-8.0,-1.0,-19,0,-3,-5,-2.54,2.54,-3.0,-0.82,-0.6,0.69,,,11.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,2.0,3:17,497.0,500.0,300.0,450.0,2500.0,250.0,240.0,5.51,3.41,52.25,55.14,61.54,66.67,-0.1198,0.2376,0.1179,-1,0,-5.0,0,0,0,0,0,0,0,0,1,0,0,0,43.05,22.0,70.11,58.37,88.32,83.61,57.31,63.49,29.35,34.51,54.3,58.61,35.29,32.14,1545.5417,1488.3413,1847.5816,1546.2963,181.93,181.5453,0.3333,0.6667,0.3333,0.6667,1532.8522,1476.3014,-0.006,-0.0,-0.192,-0.0,0.009,-0.0,0.5714,0.7143,0.2857,0.0,0.0714,0.2857,231.0,175.0,1.0,3.0,4.0,4.0,0.5216,0.3266,0.2431,0.3556,0.4026,0.2337,0.7879,0.6145,0.4982,0.3217,0.1219,0.0516,5.2268,3.7158,1.054,1.3768,46.6306,22.6732,76.9417,61.628,48.866,26.6205,4.7885,4.0463,1.6051,1.68,4.8263,2.9479,0.4108,0.15,0.7146,0.0,0.0387,0.0293,0.0058,0.0,1.0,0.0,0.1558,0.0762,4.3517,2.7793,0.0012,0.0
Chris Weidman,Bruno Silva,145.0,-175.0,145.0,57.14,2024-03-30,"Atlantic City, New Jersey, USA",USA,Red,0,Middleweight,MALE,3,2,0,0,4.12,0.49,0.0,0.93,0.27,3,4.0,16,0,0,0,0,4,0,0,4.0,Orthodox,182.88,187.96,185.0,2,0,0,3.18,0.45,0.8,3.44,0.42,9,7.0,43,5,0,0,4,4,3,0,11.0,Orthodox,187.96,198.12,185.0,39.0,34.0,0,0,-6,-7.0,-3.0,-27,-5,0,-3,-5.08,-10.16,-5.0,0.94,-0.8,-2.51,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,2:18,738.0,400.0,450.0,500.0,1600.0,1200.0,-110.0,3.14,4.71,52.17,48.68,65.22,73.33,0.3355,0.0885,0.4239,0,0,-2.0,0,0,0,0,0,0,0,0,0,1,0,0,39.06,43.25,59.84,62.86,77.05,88.0,59.46,57.87,26.0,20.83,60.52,53.09,23.57,43.18,1494.5355,1398.9109,1500.0,1256.7091,350.0,241.5067,0.3333,0.3333,0.3333,0.6667,1516.6716,1464.5192,-0.003,0.001,0.027,0.08,-0.047,-0.001,0.3636,0.8571,0.2727,0.1429,0.2727,0.0,224.0,161.0,6.0,0.0,4.0,2.0,0.455,0.5654,0.2043,0.1658,0.299,0.5285,0.4618,0.6368,0.4073,0.5026,0.073,0.14,3.2556,4.085,4.7467,1.5634,43.2745,36.3701,65.927,69.7624,42.0993,44.6785,2.8229,4.8549,2.3907,1.1776,3.1908,6.3565,0.1782,0.5248,0.1855,0.0,0.0678,0.0586,0.0,0.0,0.0,0.0,0.2156,0.0262,2.2476,5.073,0.0,0.0
Nursulton Ruziboev,Sedriques Dumas,-258.0,210.0,38.76,210.0,2024-03-30,"Atlantic City, New Jersey, USA",USA,Red,0,Middleweight,MALE,3,0,2,0,2.15,0.48,0.3,1.31,0.35,2,1.0,9,0,0,0,2,0,1,0,3.0,Orthodox,187.96,200.66,185.0,0,1,0,2.5,0.43,0.0,0.77,1.0,1,0.0,1,0,0,0,0,1,0,0,1.0,Orthodox,195.58,193.04,170.0,30.0,28.0,0,1,1,2.0,1.0,8,0,-1,1,-7.62,7.62,-2.0,-0.35,0.3,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,3:18,198.0,800.0,550.0,150.0,1000.0,250.0,400.0,0.0,1.57,0.0,49.3,0.0,33.33,-0.1431,0.2895,0.1463,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,48.84,0.0,50.0,0.0,80.0,0.0,57.41,0.0,25.0,0.0,53.85,0.0,0.0,1459.6281,1437.9809,1294.1777,1500.0,234.8329,350.0,1.0,0.6667,1.0,0.3333,1458.5958,1366.1924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,273.0,161.0,0.0,0.0,0.0,0.0,0.6667,0.5436,1.0,0.2368,0.625,0.4221,0.0,0.51,0.6,0.4441,0.0,0.1911,4.0108,1.5413,11.6883,0.2532,47.9745,25.4787,0.0,39.4255,45.741,39.8527,4.6753,1.9579,11.6883,0.4737,2.3377,2.2263,0.0,0.0474,0.0,0.0,0.0,0.0,0.0,1.0263,0.0,3.0,0.013,0.6832,4.6753,1.7579,0.0,0.1263
Bill Algeo,Kyle Nelson,-298.0,240.0,33.56,240.0,2024-03-30,"Atlantic City, New Jersey, USA",USA,Blue,0,Featherweight,MALE,3,0,2,1,3.65,0.45,0.6,1.1,0.2,2,4.0,21,0,0,0,2,1,0,0,3.0,Switch,180.34,180.34,145.0,0,2,0,5.88,0.51,0.1,1.03,0.5,2,4.0,25,0,0,0,3,1,1,0,5.0,Switch,182.88,185.42,145.0,34.0,32.0,0,0,0,-2.0,0.0,-4,0,0,-1,-2.54,-5.08,-2.0,-2.23,0.5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,4:00,240.0,120.0,300.0,400.0,1800.0,450.0,1000.0,3.79,4.52,49.24,48.58,54.17,71.43,-0.0825,0.1971,0.1145,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,46.39,34.05,63.41,69.7,86.02,80.85,56.78,61.29,27.06,16.67,54.01,54.18,21.28,32.71,1450.7918,1402.5282,1535.2022,1330.6399,193.7513,223.123,0.6667,0.6667,0.3333,0.0,1423.2211,1433.5187,-0.0,0.027,0.0,0.276,-0.0,0.012,0.2,0.3333,0.2,0.0,0.6,0.6667,175.0,196.0,0.0,2.0,0.0,1.0,0.5322,0.4685,0.7799,0.0832,0.4353,0.3341,0.6183,0.7981,0.4742,0.4517,0.1326,0.1146,4.7501,3.1372,0.7503,1.2232,33.2267,28.5854,63.0332,71.2856,41.2313,33.9261,6.7808,4.1374,1.2806,0.8397,4.6183,4.1695,0.4,0.558,0.5203,0.1377,0.0,0.0068,0.1446,0.0,3.0,0.0,0.1559,0.1899,6.0035,3.8861,0.0289,0.0
Chidi Njokuani,Rhys McKee,-130.0,110.0,76.92,110.0,2024-03-30,"Atlantic City, New Jersey, USA",USA,Red,0,Welterweight,MALE,3,3,0,0,4.8,0.45,0.0,0.0,0.0,0,3.0,7,0,0,0,0,0,0,0,0.0,Orthodox,187.96,198.12,170.0,3,0,0,4.09,0.61,0.2,0.0,0.0,3,3.0,11,0,0,0,0,3,0,0,3.0,Orthodox,190.5,203.2,170.0,35.0,28.0,0,0,-3,-3.0,0.0,-4,0,-3,0,-2.54,-5.08,-7.0,0.71,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,800.0,750.0,900.0,1000.0,120.0,215.0,3.77,11.9,54.95,43.6,61.54,20.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,40.57,45.25,75.36,85.71,82.35,77.78,64.91,46.55,23.81,19.23,60.78,48.4,56.82,32.88,1382.7596,1310.178,1679.2373,1881.7722,151.5754,156.818,0.0,0.0,0.6667,0.3333,1402.4401,1428.438,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,217.0,210.0,2.0,1.0,1.0,0.0,0.5837,0.3696,0.0,0.0,0.4456,0.2997,0.6947,0.6307,0.5487,0.3607,0.239,0.2833,4.7839,5.6906,0.0,0.0,42.0943,33.8833,66.534,82.5029,45.765,38.5017,7.9153,5.0421,0.0,0.0,6.6835,9.4734,1.7914,0.2842,0.3555,0.0,0.0265,0.0,0.0,0.0,0.0,0.0,0.1057,0.0142,7.5021,5.2105,0.0,0.0
Nate Landwehr,Jamall Emmers,142.0,-170.0,142.0,58.82,2024-03-30,"Atlantic City, New Jersey, USA",USA,Red,0,Featherweight,MALE,3,0,1,0,5.3,0.48,0.2,1.83,0.4,1,4.0,16,0,0,0,2,1,0,0,3.0,Orthodox,177.8,187.96,145.0,1,0,0,6.25,0.46,1.0,1.0,0.41,3,3.0,16,0,1,0,1,0,2,0,4.0,Orthodox,175.26,182.88,145.0,35.0,34.0,-1,1,-2,-1.0,1.0,0,0,1,-2,2.54,5.08,-1.0,-0.95,-0.8,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:43,283.0,350.0,150.0,1000.0,900.0,500.0,300.0,5.51,3.3,56.45,60.47,86.36,90.0,-0.1187,0.2213,0.1025,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,44.48,34.43,55.95,68.61,80.0,61.33,61.77,68.6,31.91,39.71,58.58,62.53,38.89,18.18,1417.241,1402.913,1500.0,1226.7544,350.0,231.0782,0.6667,0.6667,0.3333,0.3333,1432.8229,1412.7586,-0.008,-0.013,0.956,0.025,0.082,0.001,0.0,0.3333,0.5,0.0,0.5,0.6667,294.0,140.0,2.0,0.0,4.0,0.0,0.4501,0.551,0.2885,0.1623,0.3974,0.4538,0.5696,0.6109,0.4037,0.5322,0.1045,0.1562,5.7819,4.732,0.9095,1.4095,37.4639,36.6277,53.9745,73.4108,35.3712,39.8199,6.0355,9.105,0.9849,0.8632,5.9921,3.1705,1.1808,0.2448,0.9547,0.8623,0.1205,0.0,0.204,0.4872,2.0,2.0,0.0389,0.0817,4.4886,9.4262,0.0408,0.0
Virna Jandiroba,Loopy Godinez,180.0,-218.0,180.0,45.87,2024-03-30,"Atlantic City, New Jersey, USA",USA,Red,0,Women's Strawweight,FEMALE,3,0,4,0,4.16,0.48,1.0,2.95,0.47,4,3.0,27,0,0,2,3,0,2,0,7.0,Orthodox,157.48,154.94,115.0,0,2,0,2.12,0.38,1.7,2.29,0.34,2,3.0,20,0,0,0,2,1,2,0,5.0,Orthodox,160.02,162.56,115.0,35.0,30.0,0,2,2,2.0,0.0,7,0,-1,0,-2.54,-7.62,-5.0,2.04,-0.7,0.66,,10.0,5.0,,,5.0,,,,,,,,,,,,,10.0,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,350.0,-135.0,550.0,1000.0,2000.0,700.0,3.19,3.52,57.65,62.27,73.91,82.61,0.1044,0.1995,0.3038,0,0,-5.0,1,0,0,0,0,0,0,0,0,0,0,0,36.57,45.49,54.39,73.15,100.0,84.62,64.94,70.57,30.67,42.16,62.04,64.19,27.27,12.5,1438.5523,1456.992,1622.1672,1644.9657,154.4472,197.9764,0.6667,1.0,0.0,0.3333,1453.6914,1412.3139,-0.024,-0.0,-0.107,-0.0,-0.057,-0.0,0.25,0.0,0.25,0.2857,0.5,0.7143,329.0,140.0,0.0,0.0,0.0,0.0,0.4565,0.532,0.3984,0.3724,0.4452,0.482,0.5712,0.8037,0.3016,0.4967,0.1508,0.112,2.5057,4.258,2.6697,3.507,41.2537,43.4614,53.7004,73.7427,38.5051,43.2299,2.1743,5.3579,2.6319,2.9893,2.7061,4.3348,0.2476,0.5127,1.1634,2.5235,0.0,0.0,0.3875,0.0,3.0,0.0,0.5502,0.2433,1.5417,4.2826,0.0,0.0
Julio Arce,Herbert Burns,-340.0,270.0,29.41,270.0,2024-03-30,"Atlantic City, New Jersey, USA",USA,Red,0,Featherweight,MALE,3,2,0,0,1.86,0.36,1.8,2.94,0.34,3,2.0,7,0,0,0,0,1,2,0,3.0,Orthodox,175.26,185.42,145.0,1,0,0,4.36,0.36,0.3,0.46,0.28,3,4.0,27,0,0,0,2,3,1,0,6.0,Southpaw,170.18,177.8,145.0,34.0,36.0,1,0,0,-3.0,-2.0,-20,0,-2,1,5.08,7.62,2.0,-2.5,1.5,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2.0,2:00,420.0,300.0,900.0,400.0,600.0,110.0,1400.0,3.12,4.68,69.47,28.89,94.12,50.0,-0.5171,0.554,0.037,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,31.33,38.71,60.37,53.33,83.33,66.67,82.07,29.49,43.21,33.33,71.87,48.0,48.15,21.31,1422.558,1401.5816,1818.2295,1577.7408,303.9826,223.8331,0.3333,0.3333,0.3333,1.0,1463.5351,1408.0326,-0.0,0.0,0.877,0.0,-0.006,0.0,0.4,0.5,0.2,0.5,0.4,0.0,504.0,623.0,1.0,2.0,4.0,0.0,0.2995,0.615,0.2447,0.7231,0.2382,0.57,0.5527,0.6756,0.2948,0.641,0.128,0.1924,4.0508,1.4338,0.5061,3.8288,29.1203,40.3801,61.5068,59.1346,31.3975,33.1187,3.9504,1.9053,0.4971,4.9641,3.4574,3.94,0.1024,0.3471,0.0834,4.5801,0.0499,0.0,0.0,0.0,0.0,0.0,0.037,0.2141,2.9355,2.0617,0.0,0.0
Dennis Buzukja,Connor Matthews,-118.0,-102.0,84.75,98.04,2024-03-30,"Atlantic City, New Jersey, USA",USA,Red,0,Featherweight,MALE,3,0,1,0,5.3,0.44,0.7,2.97,0.53,1,1.0,6,0,0,0,1,0,0,0,1.0,Switch,172.72,180.34,145.0,2,0,0,4.21,0.43,0.2,0.63,0.27,1,3.0,10,0,0,0,1,0,0,0,1.0,Switch,175.26,177.8,145.0,26.0,31.0,-2,1,0,0.0,-2.0,-4,0,0,0,-2.54,2.54,5.0,1.09,0.5,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,0:22,622.0,200.0,250.0,1000.0,500.0,350.0,650.0,4.73,0.0,43.65,0.0,20.0,0.0,-0.229,0.3124,0.0834,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,28.24,0.0,64.71,0.0,50.0,0.0,53.25,0.0,43.75,0.0,46.02,0.0,0.0,0.0,1324.7135,1400.0,1929.3449,1648.1165,112.6465,148.4047,0.0,0.0,0.5,0.0,1410.1256,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,175.0,1.0,0.0,1.0,0.0,0.402,0.0,0.0,0.0,0.1129,0.0,0.8588,0.0,0.3905,0.0,0.047,0.0,3.0219,0.0,0.0,0.0,29.743,0.0,76.2899,0.0,32.156,0.0,3.3241,0.0,0.0,0.0,12.179,0.0,0.1333,0.0,0.0,0.0,0.7347,0.0,0.4,0.0,1.0,0.0,0.1093,0.0,3.4041,0.0,0.0,0.0
Ibo Aslan,Anton Turkalj,-130.0,110.0,76.92,110.0,2024-03-30,"Atlantic City, New Jersey, USA",USA,Red,0,Light Heavyweight,MALE,3,3,0,0,2.45,0.42,0.0,4.98,0.41,1,3.0,8,0,0,0,1,0,0,0,1.0,Orthodox,193.04,198.12,205.0,0,1,0,6.83,0.45,0.0,0.0,0.0,1,0.0,1,0,0,0,0,1,0,0,1.0,Orthodox,190.5,195.58,205.0,27.0,27.0,3,-1,0,0.0,3.0,7,0,-1,0,2.54,2.54,0.0,-4.38,0.0,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,1:32,692.0,1200.0,450.0,1800.0,300.0,100.0,500.0,0.0,2.88,0.0,47.17,0.0,16.67,-0.6703,0.6703,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,52.78,0.0,63.64,0.0,80.0,0.0,50.0,0.0,28.57,0.0,58.82,0.0,18.75,1400.0,1310.3537,1936.6162,1890.8571,101.3455,220.2994,0.0,0.0,0.0,0.6667,1400.0,1433.9717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,203.0,0.0,1.0,0.0,1.0,0.0,0.5545,0.0,0.1053,0.0,0.276,0.0,0.6746,0.0,0.5003,0.0,0.3363,0.0,1.8542,0.0,2.4926,0.0,41.9619,0.0,50.4322,0.0,45.8154,0.0,2.4645,0.0,1.5789,0.0,5.0703,0.0,0.5359,0.0,0.0,0.0,0.2153,0.0,0.3158,0.0,1.0,0.0,0.0337,0.0,2.4014,0.0,0.0
Andre Petroski,Jacob Malkoun,,,,,2024-03-30,"Atlantic City, New Jersey, USA",USA,Blue,0,Middleweight,MALE,3,1,0,0,3.86,0.56,0.4,6.62,0.42,2,3.0,14,0,0,0,3,0,0,0,3.0,Orthodox,175.26,185.42,185.0,1,0,0,3.0,0.5,2.0,4.07,0.56,5,1.0,14,0,0,1,1,1,2,0,5.0,Switch,182.88,185.42,185.0,32.0,28.0,0,0,-3,-2.0,2.0,0,0,-1,-2,-7.62,0.0,-4.0,0.86,-1.6,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,0:39,339.0,,,,,,,2.99,2.64,51.24,50.93,71.43,0.0,-0.056,0.268,0.212,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,46.13,53.03,89.13,85.71,83.33,100.0,58.19,55.87,33.33,22.22,54.3,55.52,14.29,11.11,1504.2019,1440.0572,1996.5881,2011.263,160.1946,169.6786,0.6667,0.3333,0.3333,0.0,1411.8524,1435.0205,-0.0,0.018,-0.0,0.42,-0.0,0.018,0.2,0.0,0.4,0.0,0.4,1.0,168.0,189.0,1.0,1.0,1.0,1.0,0.2657,0.5862,0.273,0.4363,0.2203,0.575,0.4804,0.4731,0.238,0.3023,0.285,0.0929,2.9268,3.2675,6.7285,6.5605,33.5615,41.9989,76.7941,72.4192,36.8109,44.8479,1.9856,4.8201,2.2985,5.8461,4.2485,2.8106,0.0812,0.1191,2.1016,0.1444,0.3322,0.1604,0.0733,0.0,1.0,0.0,0.146,0.5248,2.118,5.0492,0.0,0.0
